id,titles,category,website,description,major_categ
45,How to Achieve the SDGs,participation,https://www.unsdglearn.org/courses/how-to-achieve-the-sustainable-development-goals/,2030 agenda sustainable development adopted united nations general assembly september 25 2015 presenting number goals called sustainable development goals sdgs meant end global poverty ensure peaceful prosperous future course covers multiple aspects implementation sdgs stakeholders roles financing policy making others transcripts available english <U+0440><U+0443><U+0441><U+0441><U+043A><U+0438><U+0439> download syllabus 2030 agenda sustainable development adopted united nations general assembly september 25 2015 presenting number goals called sustainable development goals sdgs meant end global poverty ensure peaceful prosperous future course covers multiple aspects implementation sdgs stakeholders roles financing policy making others transcripts available english <U+0440><U+0443><U+0441><U+0441><U+043A><U+0438><U+0439> target audience policymakers sustainable development practitioners undergraduate graduate students interested issues addressed sdgs   policymakers sustainable development practitioners undergraduate graduate students interested issues addressed sdgs   learning objectives understand sdgs established meant implemented social financial conditions needed achieve roles general public private sector international actors play accomplishing understand sdgs established meant implemented social financial conditions needed achieve roles general public private sector international actors play accomplishing,1
46,Integrated Economic Statistics to support 2008 SNA implementation,reflexivity and adaptation,https://www.unsdglearn.org/courses/intermediate-e-learning-course-on-integrated-economic-statistics-to-support-2008-sna-implementation/,intermediate course integrated economic statistics focuses following topics statistical infrastructure economic statistics administrative data sources economic census surveys statistical registers classification frameworks overview sna brief recap domestic economy rest world institutional units sectors sna aggregates coverage sna framework integrating economic censuses business surveys sut sna estimation linkages economic censuses sna measures sna measures economic census questionnaires bench marking sut gdp using economic census estimation methods estimation output value added derivation volume measures supply use methods implications 2008 sna gdp measures intermediate course integrated economic statistics focuses following topics target audience statisticians economists working compilation national accounts researchers others interested details national accounts     learning objectives course designed following objectives rationalize data sources economic statistics understand inter linkages various data collections compilations plan effective economic census questionnaires tabulation plans plan use economic census results economic data collections compilation national accounts end course participants expected able identify data flows additional data needs implementing recommendations 2008 sna core economic statistics identified unescap regional programme economic statistics build effective economic census instruments analytical plan course designed following objectives end course participants expected able,4
47,Policy Coherence for Sustainable Development,policy coherence,https://www.unsdglearn.org/courses/policy-coherence-for-sustainable-development/,course designed  un system staff college knowledge centre sustainable development coordination  national university singapore acting  lee kuan yew school public policy   hertie school governance based berlin collaboration  oecd policy coherence sustainable development unit  paris course explores approaches cross organizational cross sectoral policy coherence national regional international levels view equipping participants understanding policy coherence important achieving sustainable development coherent policymaking entails specific tools mechanisms approaches can employed foster policy coherence course designed  un system staff college knowledge centre sustainable development coordination  national university singapore acting  lee kuan yew school public policy   hertie school governance based berlin collaboration  oecd policy coherence sustainable development unit  paris course explores approaches cross organizational cross sectoral policy coherence national regional international levels view equipping participants understanding policy coherence important achieving sustainable development coherent policymaking entails specific tools mechanisms approaches can employed foster policy coherence target audience un staff headquarters country teams regional offices government representatives development practitioners well members civil society academia foundations un staff headquarters country teams regional offices government representatives development practitioners well members civil society academia foundations learning objectives upon successful completion course participants will demonstrate sound understanding vision principles underlying 2030 agenda evolution concept policy coherence sustainable development importance policy coherence sustainable development demonstrate good understanding relevance policy coherence approach tool achieve sustainable development outcomes able recognize policies mutually reinforcing across governance levels equipped knowledge specific tools mechanisms approaches can employed foster policy coherence including partnerships multi stakeholder engagement upon successful completion course participants will,2
49,"Policy cycle, integrated approaches and SDGs for African LDCs",policy coherence,https://www.unsdglearn.org/courses/policy-cycle-integrated-approaches-and-sdgs-for-african-ldcs-and-other-african-countries/,called lead act change   2030 agenda sustainable development represents imperative change united nations covid 19 pandemic drastically underlined connections immediate public health measures wider economic social environmental linkages need considered designing implementing integrated responses yet efforts build back better risk favouring unsustainable short term gains will ultimately increase inequality threaten planet push toward needed long term transformation toward human well within planetary boundaries course aims supporting un leaders articulate facilitate broker needed changes support people countries serve also provides space discuss necessary adjustments structure leadership accountability mechanisms interaction capacities un development system required ensure positioned provide countries support need strengthening relevance un needs visionary principled leadership across system address today s challenging world needs leaders stand un values— inspire commitment peace justice respect human rights tolerance solidarity participants will deepen knowledge sharpen political acumen engaging discussions un senior officials subject matter experts will opportunities share practices interactive peer peer learning workshops  unpack inter agency concerns well individual agency contexts develop solutions leverage un agency s strengths expertise experiential learning methods site visit well full day media training will complement intense training programme called lead act change   2030 agenda sustainable development represents imperative change united nations covid 19 pandemic drastically underlined connections immediate public health measures wider economic social environmental linkages need considered designing implementing integrated responses yet efforts build back better risk favouring unsustainable short term gains will ultimately increase inequality threaten planet push toward needed long term transformation toward human well within planetary boundaries course aims supporting un leaders articulate facilitate broker needed changes support people countries serve also provides space discuss necessary adjustments structure leadership accountability mechanisms interaction capacities un development system required ensure positioned provide countries support need strengthening relevance un needs visionary principled leadership across system address today s challenging world needs leaders stand un values— inspire commitment peace justice respect human rights tolerance solidarity participants will deepen knowledge sharpen political acumen engaging discussions un senior officials subject matter experts will opportunities share practices interactive peer peer learning workshops  unpack inter agency concerns well individual agency contexts develop solutions leverage un agency s strengths expertise experiential learning methods site visit well full day media training will complement intense training programme target audience un resident coordinators rc rc candidates country directors representatives un agencies funds programmes un resident coordinators rc rc candidates country directors representatives un agencies funds programmes learning objectives upon successful completion course participants will strengthened  knowledge vision principles underlying 2030 agenda  well approaches implementation practical means mechanisms sustainable development gained deeper understanding  repositioning process un development system   implications un agencies  resident coordinator offices country level gained deeper understanding  integrated approaches sustainable development systems thinking context  building back better post covid 19 improved understanding defining characteristics  un leadership  various ways working exemplify leadership characteristics acquired knowledge mechanisms tools  enhance uncts integrated policy support  countries ready apply art  effective strategic communication  improve quality dialogue partners stakeholders  increase advocacy highlight results upon successful completion course participants will,2
50,The UN Country Team Leadership Course,reflexivity and adaptation,https://www.unsdglearn.org/courses/the-un-country-team-leadership-course-maximizing-synergies-for-greater-impact-2/,amidst disruption global uncertainty facing world today global dialogue action critical ever context virtual un summer academy will address key challenges achievement 2030 agenda sustainable development explore collaborations global local level address 2021 virtual un summer academy builds rich legacy succesful virtual edition 2020 well  eight face face editions   previous editions academy combines academic rigour cutting edge thinking providing participants unparalleled learning networking opportunities facilitates fosters dialogue thought action leaders currently working towards implementation 2030 agenda paris agreement participants will explore transformative approaches required implementation 2030 agenda share concrete examples practices diverse country contexts stakeholder perspectives time virtual edition capitalizes additional opportunities offered online format experiential learning methodologies participants will engage wide range expert inputs well peer peer learning knowledge exchange collaborative co creation thanks generous support state north rhine westphalia course offered reduced price 500 moreover order offer highly qualified candidates possibility participate un summer academy state north rhine westphalia funding 62 full scholarships covering fees five day online learning event deadline scholarship applications  30 june 2021 can find details apply  amidst disruption global uncertainty facing world today global dialogue action critical ever context virtual un summer academy will address key challenges achievement 2030 agenda sustainable development explore collaborations global local level address 2021 virtual un summer academy builds rich legacy succesful virtual edition 2020 well  eight face face editions   previous editions academy combines academic rigour cutting edge thinking providing participants unparalleled learning networking opportunities facilitates fosters dialogue thought action leaders currently working towards implementation 2030 agenda paris agreement participants will explore transformative approaches required implementation 2030 agenda share concrete examples practices diverse country contexts stakeholder perspectives time virtual edition capitalizes additional opportunities offered online format experiential learning methodologies participants will engage wide range expert inputs well peer peer learning knowledge exchange collaborative co creation thanks generous support state north rhine westphalia course offered reduced price 500 moreover order offer highly qualified candidates possibility participate un summer academy state north rhine westphalia funding 62 full scholarships covering fees five day online learning event deadline scholarship applications  30 june 2021 can find details apply  target audience un staff national local government representatives civil society representatives academics private sector representatives well select number master s post graduate students applicants will selected basis professional academic profile motivation statement time requirements   detailed course methodology section synchronous course participants will expected online four five specified hours five days exact times will shared successful applicants shortly course begins unssc will offer two time windows participants can select window  either 10 00 m 4 00 p m cest  2 00 p m 8 00 p m cest technical requirements   take participate online training participants will need access desktop pc laptop internet connection well functioning webcam microphone speakers internet speed volume sufficient four five hours video conferencing day due interactive applied format academy possible participate using mobile device details technical requirements will shared successful applicants shortly course begins un staff national local government representatives civil society representatives academics private sector representatives well select number master s post graduate students applicants will selected basis professional academic profile motivation statement time requirements   detailed course methodology section synchronous course participants will expected online four five specified hours five days exact times will shared successful applicants shortly course begins unssc will offer two time windows participants can select window  either 10 00 m 4 00 p m cest  2 00 p m 8 00 p m cest technical requirements   take participate online training participants will need access desktop pc laptop internet connection well functioning webcam microphone speakers internet speed volume sufficient four five hours video conferencing day due interactive applied format academy possible participate using mobile device details technical requirements will shared successful applicants shortly course begins learning objectives upon successful completion un summer academy participants will demonstrate sound understanding key notions underpinning 2030 agenda sustainable development paris agreement climate change demonstrate improved understanding key challenges opportunities facing multilateral development system key actions global local levels drive future want benefitted unparalleled networking opportunities demonstrate increased awareness role different development partners received exposure good practices area sustainable development local level upon successful completion un summer academy participants will,4
51,UN Summer Academy,participation,https://www.unsdglearn.org/courses/un-summer-academy/,world going period instability uncertainty covid 19 pandemic intensified challenges region latin america caribbean context 2030 agenda sustainable development becomes even relevant well foresight studies future crossroads experienced region promote exercise foresight long term planning public affairs participants will learn systemic thinking framework 2030 agenda long term trends challenges foresight s tools cases experiences strategic planning learning methodology course encourages construction individual collective knowledge combining theory practice experience virtual classes applied exercises readings interactive quizzes participants will able practice foresight techniques furthermore will opportunity share knowledge experiences peers virtual course lasts eight weeks summing total 80 academic hours asynchronous course activities can distributed participant individual basis download syllabus world going period instability uncertainty covid 19 pandemic intensified challenges region latin america caribbean context 2030 agenda sustainable development becomes even relevant well foresight studies future crossroads experienced region promote exercise foresight long term planning public affairs participants will learn systemic thinking framework 2030 agenda long term trends challenges foresight s tools cases experiences strategic planning learning methodology course encourages construction individual collective knowledge combining theory practice experience virtual classes applied exercises readings interactive quizzes participants will able practice foresight techniques furthermore will opportunity share knowledge experiences peers virtual course lasts eight weeks summing total 80 academic hours asynchronous course activities can distributed participant individual basis target audience course suitable anyone wants gain knowledge foresight including representatives public sector ngos academia think thanks interested development capacities exploration future application fields development public policy applicants must completed university studies course suitable anyone wants gain knowledge foresight including representatives public sector ngos academia think thanks interested development capacities exploration future application fields development public policy applicants must completed university studies learning objectives 1 acquire basic conceptual theoretical methodological framework foresight future studies knowledge basic theories relevant contemporary experiences long term visions knowledge general development context region latin america caribbean 2 know basic elements 2030 agenda global vision sustainable development show benefits foresight analysis tools can offer tool achieve 2030 agenda sustainable development sustainable development goals 1 acquire basic conceptual theoretical methodological framework foresight future studies knowledge basic theories relevant contemporary experiences long term visions knowledge general development context region latin america caribbean 2 know basic elements 2030 agenda global vision sustainable development show benefits foresight analysis tools can offer tool achieve 2030 agenda sustainable development sustainable development goals,1
52,"Foresight for Development, the 2030 Agenda and the SDGs",reflexivity and adaptation,https://www.unsdglearn.org/courses/foresight-for-development-the-2030-agenda-and-the-sdgs/,,4
53,From Climate Science to Action,participation,https://unccelearn.org/course/view.php?id=48&page=overview,"Each part of the world faces specific vulnerabilities to climate change and has different opportunities to mitigate the effects and build resilience in the 21st century. With the ratification of the Paris Agreement, many countries have acceded to act in combatting climate change. Indeed, without climate action, decades of sustainable development is at risk, thus making this a ‘make or break’ point in time. Showcasing the most recent scientific evidence, explaining the different regional impacts and divulging climate action strategies, along with interactive tools such as a Carbon Footprint Tracker and (I) NDC Platform, this MOOC provides some opportunities, where you can take action on climate change.

About the Course

This action-oriented MOOC gives you the opportunity to learn about regional climate change impacts and sector-specific strategies to increase resilience and move towards a low-carbon future. You will have the opportunity to explore these issues in depth and tailor your learning experience for one or more of the following regions:

•  Latin America and Caribbean
•  Sub-Saharan Africa
•  Middle East and North Africa
•  Eastern Europe and Central Asia
•  East Asia and Pacific
•  South Asia

 In this endeavor, the MOOC brings together renowned scientists and policymakers to provide a synthesis of the most recent scientific evidence on climate change, regional low emissions and climate resilient development strategies across sectors. A team of expert Instructors will lead discussions around the Paris Agreement, reflections from COP22 and the progress on Nationally Determined Contributions (NDCs).

Course Syllabus

Overview 

‘From Climate Science to Action’ is divided into four weeks. The first two weeks will provide a comprehensive overview of the scientific evidence for climate change, followed by region-specific insights on the impacts of a warmer world in the 21st century. The last two weeks will focus on action strategies that are being undertaken in different regions and countries to meet the climate challenge, and how you as an individual can take action to avoid a warmer world!

Week 1:  Climate Change in the 21st Century

•  Historical and projected observed changes in the climate system, leading up to the end of the 21st century
•  The potential of Intended Nationally Determined Contributions (INDCs) submitted at COP 21 from 187 countries to induce climate action
•  Trends in climate change impacts, including loss of Arctic sea ice, melting glaciers, increased heat waves and extreme temperatures, and drought and aridity 
•  Possible responses from natural systems, explaining how warming could result in sea-level rise, heat waves and extreme temperatures, and ocean acidification

Week 2: Sectoral and Regional Impacts

•  Impacts on key development sectors—from warming above pre-industrial temperatures and projected climate trends—across each of the world’s regions
•  Sectoral impacts focusing on agricultural production, water resources, ecosystem services, and coastal vulnerability for affected populations 
•  Importance of risks with the potential to reverse hard-won development gains and potentially trap millions in poverty, illustrating the need for urgent action now

Week 3: From Science to Action on Climate Change

•  Region-specific discussions on mitigation actions needed to reduce emissions while decreasing vulnerability to climate change impacts through adaptation and by building climate resilience
•  Perspectives from regional experts on their experiences in strategies and actions proposed in each region to help transition towards a low-emissions, climate-resilient development path 
•  Discussions on the progress of the Nationally Determined Contributions (NDCs), outcomes of the Paris Agreement and reflections from the Conference of Parties (COP)22

Week 4: What You Can Do

•  Transformative impact of day-to-day changes when brought to a global scale
•  The rationale for acting now, acting together and acting differently
•  Examples and expected benefits of mitigation and adaptation policies, considering both contributions to global emission reductions and local development opportunities

In addition to the core resources and assignments, you may choose to go further, engaging in fun optional exercises, networking, discussion, and diving deeper into our rich selection of supplemental resources. You will have the opportunity to explore these issues in depth and tailor your learning experience for one or more of the following regions:

Latin America and Caribbean
Sub-Saharan Africa
Middle East and North Africa
Eastern Europe and Central Asia
East Asia and Pacific
South Asia

Course Format

This MOOC has a week-by-week structure, with resources, activities and exercises for you to engage in during each of the four weeks of the course. Each week, you will find a variety of course material, including: 

Interactive video talks by renowned climate scientists and practitioners 
Interactive tools: the Carbon Footprint Tracker, (I) NDC platform
Resources: Core, optional (deep dive) and fun interactives on the week’s theme
Quizzes that check your knowledge, reinforce the lesson’s material and provide immediate feedback
Assignments that will sharpen your skills of analysis, reflection and communication
•  Discussion forums and social media that enable collaboration with others from around the world, enriching interaction among participants
•  As a final project, you will create a digital artifact 

You can also go much further than this, engaging in optional exercises, networking, or discussion forums and dive deeper into our rich selection of additional resources. We also will use e-discussions, and other tools to facilitate dialogue between the learners and experts.

Recommended Background: No background knowledge is necessary. The content of this course is designed to be accessible to students from any discipline.",1
54,"Act on Climate: Steps to Individual, Community, and Political Action",participation,https://www.coursera.org/learn/act-on-climate,"Are you concerned about climate change? Would you like to learn how to address and respond to this challenge? If so, this course is for you.  

Act on Climate: Steps to Individual, Community, and Political Action is intended to help learners understand, address and respond to climate change as individuals and in partnership with their communities and political leaders. The course focuses on how to translate learning into action on climate change in the areas of food, energy, transportation and the built environment (cities). This course was co-developed and taught by Michaela Zint, Professor of Environmental Education and Communication, and University of Michigan Students. A range of academic climate change experts and professional leaders are featured.

As a result of completing this course, you will be able to:

1) Identify individual, community, and political actions you can engage in to effectively address and respond to climate change.

2) Describe how insights from the social sciences can be employed to create change at the individual, community, and political levels.

3) Feel empowered to continue to influence how you, your community, and political leaders address and respond to climate change.

Use #UMichActonClimate on social media to share what you're doing and connect with other learners.",3
55,The Turn: From Reactionary Populism to a Progressive Alternative,democratic institutions,https://sdgacademy.org/course/the-turn/,"What is a ""progressive alternative"" for our world and what steps should we take to bring about these changes?, What is a ""progressive alternative"" for our world and what steps should we take to bring about these changes?, for a, three-part series, political philosopher , Roberto Mangabeira Unger, of a , Progressive Alternative, in the, UNITED STATES AND BRAZIL, In early 2021, Columbia University Professor Jeffrey Sachs and political philosopher Roberto Mangabeira Unger delivered a three-part webinar series to discuss the systemic and structural changes necessary to create a progressive future, with a focus on Brazil and the US. Both countries suffer from political polarization, populism, social conflict, and economic inequality among the highest in the world. Professors Sachs and Unger analyzed and debated how the two countries reached their current state of crisis, and how each nation--and the world--can forge a progressive alternative to overcome the current impasse.,  1Stagnant and divided: What happened to socially inclusive economic growth and progressive politics?,  2Losing and finding the way: The United States and Brazil,  3From now to an alternative: The missing project",3
56,Sustainable Development: The Post-Capitalist Order,reflexivity and adaptation,https://www.edx.org/course/sustainable-development-the-post-capitalist-order,"Examine the shortcomings of global capitalism, and learn why sustainable development is the logical step forward for our world., Examine the shortcomings of global capitalism, and learn why sustainable development is the logical step forward for our world., does not equal, WELLBEING, economic growth, expansion, and, GLOBALIZATION, A look at the, SHORTCOMINGS OF CAPITALISM, to a, SUSTAINABLE FUTURE, Our present system of global capitalism is flawed. While it has produced immense wealth and economic growth in nearly all regions of the world, it has also prioritized profits over people and harmful consumption practices over the needs of our planet. Sustainable development must bring about a new world order to replace the vices of global capitalism, ensuring development, human wellbeing, and environmental security. This course presents the U.N.<U+0092>s Agenda 2030 and the Sustainable Development Goals as the necessary successor to laissez faire-style capitalism, and emphasizes the urgency of embracing sustainable development objectives to transform our economy into a more reactive, efficient, inclusive, and environmentally-conscious system., This massive open online course (MOOC) provides an in-depth look at the shortcomings of our current and past global economies, and shows why and how sustainable development has become the universally-prioritized agenda for the future of our world. The topics covered range from market economics to education, gender equality, international trade, financing, and more.,  Module 1: What is Sustainable Development?,  Module 2: What Do Global Markets Do?,  Module 3: A Brief History of our Faustian Bargain,  Module 4: Capitalism and Injustice,  Module 5: The SDGs: Leaving No One Behind,  Module 6: The Tragedy of The Commons,  Module 7: From Capitalism to Sustainable Development,  Module 8: How Can Cities and Urban Areas be Governed Better to Make them More Sustainable?",4
57,Getting a Good Deal: Negotiating Extractive Industry Contracts,democratic institutions,https://sdgacademy.org/course/getting-a-good-deal/,"Much of the work of contract negotiations happens before anyone sits down at the table. Be prepared to get a good deal in our newest course on negotiating extractive industry contracts. , Much of the work of contract negotiations happens before anyone sits down at the table. Be prepared to get a good deal in our newest course on negotiating extractive industry contracts. , a good deal , in the extractive industry, in successful, contract negotiations?, can support , government negotiators?, of a , SUCCESSFUL CONTRACT, Many resource-rich countries negotiate complex contracts to govern mining, oil, or gas projects. Despite the critical importance of these contracts in determining the risks and benefits of these projects, many developing country governments face disadvantages in the negotiation process. This can be because of asymmetric information or expertise, lack of preparedness, power imbalances, and other factors. This course examines the challenges governments face in negotiating strong contracts, and strategies that governments can use to address these challenges and increase the chances of negotiating a good deal., , This course was developed by the Natural Resource Governance Institute (NRGI), the Columbia Center on Sustainable Investment (CCSI), and the CONNEX Support Unit, with support from GIZ and the European Union. It is hosted by the SDG Academy.,  Module 1: The Policy and Legal Context Around Contract Negotiations,  Module 2: Preparing for Negotiations,  Module 3: Negotiations and the Aftermath",3
58,Natural Resources for Sustainable Development,reflexivity and adaptation,https://sdgacademy.org/course/natural-resources-for-sustainable-development/,"Explore the sustainable development opportunities and challenges in using oil, gas, and minerals., Explore the sustainable development opportunities and challenges in using oil, gas, and minerals., How do countries translate natural resource wealth into, sustainable development outcomes?, What policies are necessary for the sustainable management of , natural resource wealth?, How does governance of extractive industries impact, long term economic development?, Why is communication critical to, sustainable natural resource management?,  Module 1: Challenges and opportunities,  Module 2: Political economy of natural resources,  Module 3: Fundamentals of oil, gas, and mining: Industry considerations and policy implications,  Module 4: Legal overview,  Module 5: Fiscal regime design and revenue collection,  Module 6: Anticipating and managing environmental issues,  Module 7: Community rights,  Module 8: Artisanal mining,  Module 9: Revenue management,  Module 10: Investing in sustainable development: Economic linkages to the extractives sector,  Module 11: Investing in sustainable development: Looking beyond extractives,  Module 12: Cross-cutting considerations and looking ahead",4
59,The Age of Sustainable Development,policy coherence,https://sdgacademy.org/course/the-age-of-sustainable-development/,"Learn the basics of sustainable development <U+0096> what it is, why it<U+0092>s important, and how we can achieve it., Learn the basics of sustainable development <U+0096> what it is, why it<U+0092>s important, and how we can achieve it., Learn the basics <U+0096> how do we build, a sustainable world?, From planetary boundaries, to renewable energy, to sustainable consumption of, natural resources, From inequality, to poverty, to health and, human rights, How do nations and economies flourish without, leaving anyone behind?, Sustainable development is the most urgent challenge facing humanity. Its fundamental question is: How can the world economy continue to develop in a way that is socially inclusive and environmentally sustainable? This course provides a broad overview of the interactions between the economy, our environment, and humanity, from the constraints of finite resources to the activities that drive climate change, to equality for all., This course is an updated version of Professor Sachs' popular 2015 course of the same name. It includes new perspectives and a reorientation towards Agenda 2030 and the SDGs., Join us for this introduction to the tenets of sustainable development, developed by experts on the latest in the social, policy, and physical sciences.,  Module 1: What is Sustainable Development?,  Module 2: Economic Development <U+0096> How We Measure It, How It Varies Around the World,  Module 3: A Short History of Economic Development,  Module 4: Why Did Some Countries Advance While Others Remained in Poverty?,  Module 5: The MDGs and the End of Extreme Poverty,  Module 6: Growth within Planetary Boundaries,  Module 7: Human Rights and Gender Equality,  Module 8: Education,  Module 9: Universal Health Coverage,  Module 10: Sustainable Food Supply and the End of Hunge,  Module 11: Sustainable Cities,  Module 12: Curbing Climate Change,  Module 13: Saving Biodiversity,  Module 14: The Sustainable Development Goals",2
60,Sustainable Food Systems: A Mediterranean Perspective,reflexivity and adaptation,https://sdgacademy.org/course/sustainable-food-systems-a-mediterranean-perspective/,"How do we produce more, better quality, and safer food while simultaneously achieving social and environmental goals?, How do we produce more, better quality, and safer food while simultaneously achieving social and environmental goals?,  The interlinkages from production to, consumption, Explore food systems in countries across, the Mediterranean, Entrepreneurial opportunities and, growing fields, The Mediterranean region is one of the most biodiverse in the world, home to a complex and intricate patchwork of cultures, climates, and cuisines. Food systems in the region <U+0096> represented worldwide by the ""Mediterranean diet"" <U+0096> are equally complex, demanding analysis across the political, social, cultural, economic, and nutritional spectrums from landscape to table., The ability of Mediterranean agriculture to sustain its peoples <U+0096> and the planet <U+0096> is now threatened by several issues:, This course discusses the challenges and opportunities of the agricultural sector in the Mediterranean basin. It summarizes global-to-local challenges related to achievement of the Sustainable Development Goals; outlines the history and culture of agriculture and its main characteristics with a focus on the ""Mediterranean diet""; explains agricultural data with a focus on rural development models and value creation; explores EU policy frameworks and international agreements related to food and agriculture in the Mediterranean; and highlights emerging opportunities linked to innovation and sustainability in the sector.,  ,  Module 1: The Mediterranean challenges around food and agriculture,  Module 2: History of agriculture in Mediterranean basin and Mediterranean Diet,  Module 3: Poverty alleviation, economic and social rural development,  Module 4: Fisheries and Aquaculture,  Module 5: How to achieve the SDGs in the Mediterranean <U+0096> The way forward I. Water resources and Fisheries Management,  Module 6: How to achieve the SDGs in the Mediterranean <U+0096> The way forward II. Sustainable farming systems under environmental and climatic constraints,  Module 7: How to achieve the SDGs in the Mediterranean <U+0096> The way forward III. Food value chain for regional and local development,  Module 8: How to achieve the SDGs in the Mediterranean <U+0096> The way forward IV. Reducing food waste and enhancing by-product innovations,  Module 9: How to achieve the SDGs in the Mediterranean <U+0096>  The way forward V. Nutrition and Education,  Module 10: New professional profiles in a Mediterranean context",4
61,"One Planet, One Ocean",reflexivity and adaptation,https://sdgacademy.org/course/one-planet-one-ocean/,"A holistic view of how the ocean functions, how human interactions with the ocean can be understood, and what solutions are available to support both sustainable use and stewardship of our blue planet., A holistic view of how the ocean functions, how human interactions with the ocean can be understood, and what solutions are available to support both sustainable use and stewardship of our blue planet., The physics, biology and chemistry of, the ocean, The rules and regulations governing ocean use and misuse, plus related economics of , ocean ecosystems, How our interactions with the ocean impact its, resilience, Energy production, fisheries and other systems, , Is the ocean the real final frontier? Humans have a greater understanding of the surface of the moon than they do of the depths of these waters. But what we know of the ocean proves it hosts a wealth of opportunity <U+0096> connecting the world; supporting important and basic economic, cultural and environmental functions <U+0096> despite being under significant threat. Stressed by unsustainable lifestyles and the increasing demands of a growing global population, how do we become good stewards of this massive natural resource?, In the massive open online course One Planet <U+0096> One Ocean: From Science to Solutions, learn from the world's leading experts on ocean science. They will present the issues and potential solutions <U+0096> grounded in rigorous scientific research <U+0096> to fight for our endangered waters.,  Module 1: One Planet <U+0096> One Ocean,  Module 2: Coasts,  Module 3: Marine Ecosystems,  Module 4: Fisheries and Aquaculture,  Module 5: Marine Life and Minerals,  Module 6: Ocean and Climate",4
62,Cities and the Challenge of Sustainable Development,reflexivity and adaptation,https://www.edx.org/course/cities-and-the-challenge-of-sustainable-developmen,"What are sustainable cities? Learn the basics here., What are sustainable cities? Learn the basics here., What are the Sustainable Development Goals, and what do cities have to do with them?, , How various sectors contribute to modern, sustainable urban development., , According to the United Nations, urbanization and population growth could result in an increase of 2.5 billion people into urban populations by 2050, with associated impacts ranging from increased transportation needs to more building. How do we make cities sustainable to support this growth?, In this mini-series, learn the challenges of local governments to adapt to new technologies, energy systems, modes of transportation and more in order to build the sustainable cities of the 21st century., This mini-series is a companion piece to the SDG Academy's full-length Sustainable Cities  course.,  1: Introduction to the SDGs,  2: Why Cities? The Importance of SDG 11,  3: The 10-Point Agenda for 21st-Century Cities,  4: Urban Environment and Energy Systems,  5: Cities as Hubs of Knowledge",4
