"","titles","description"
"123","Human Rights, Human Wrongs","With complex legal protections and varying societal norms, how do we ensure rights for all?, With complex legal protections and varying societal norms, how do we ensure rights for all?, International agreements in place to support , marginalized groups, Gender, ethnicity and other factors that intersect <U+0096> and interfere <U+0096> with rights worldwide, , How global politics shape the conversation <U+0096> and the law, , How new approaches to humanitarian assistance hurt and help, , From women to children to indigenous peoples, the rights of marginalized groups the world over are violated daily. These injustices affect not just these groups, but also the stability of our world <U+0096> and our collective future.Join this massive open online course to learn about the establishment of human rights and their linkages to many other global issues in sustainable development. Using legal frameworks as the lens, the course explores the barriers that prevent rights from becoming reality in different societies., From women to children to indigenous peoples, the rights of marginalized groups the world over are violated daily. These injustices affect not just these groups, but also the stability of our world <U+0096> and our collective future., Join this massive open online course to learn about the establishment of human rights and their linkages to many other global issues in sustainable development. Using legal frameworks as the lens, the course explores the barriers that prevent rights from becoming reality in different societies., Graduate students and advanced undergraduate students studying human rights, law, sustainable development, international relations and related fields, Human rights practitioners working on the ground who want to improve the efficacy of intervention programs, Lawyers and policymakers interested in the context of existing and past human rights legislation and the current issues at play in revising legislation or adapting new legislation, Private-sector actors, such as those who work in corporate sustainability and responsibility, who are interested in labor rights, gender equality and more, Sustainable development practitioners who want to understand human rights in the context of a range of issues, such as forced migration,  Module 1: Why Does the World Need Human Rights?,  Module 2: How Do International Legal Frameworks and Institutions Interact with the Development Agenda?,  Module 3: International Human Rights Frameworks and Marginal Groups,  Module 4: What are the Basic Underlying Frameworks for Social Inclusion?,  Module 5: Contested Rights and the Co-option of the Rights Discourse,  Module 6: Sites of Gendered Poverty and Inequality,  Module 7: Gendered Rights and Violence,  Module 8: The Nature of Social Exclusion: Minorities and Indigenous Peoples,  Module 9: Who Will Advocate for the Vulnerable at Their Most Vulnerable?,  Module 10: From Exclusion to Inclusion: Responding to Crisis and Conflict,  Module 11: New Directions: Rights and the SDGs"
"124","Planetary Boundaries and Human Opportunities","Can our planet continue to support the current scope of human activity?, Can our planet continue to support the current scope of human activity?, What is it and, why does it matter?, Understanding the social-ecological implications of, sustainability, The big three boundaries of , the planet, How do we move forward as a planet for, sustainability?, A thriving global society relies on the stability of the Earth and its resilience across oceans, forests, waterways, biodiversity, the atmosphere and more. So how do we shape sustainability at a global scale? The boundaries set by the planet<U+0092>s natural resources, the resilience of those resources, and the human activities that impact sustainability all come into play.In this massive open online course, see the rapidly evolving trends in global environmental change and the responses aimed at slowing or eliminating these changes. Get an overview of what is seen by some scientists as our current geological epoch <U+0096> the Anthropocene, or an age of global change driven most significantly by humans. Learn how unsustainable patterns of production, consumption, and population growth have challenge planetary resilience, all in support of human activity <U+0096> and how our societies can develop in a just and safe way within the planet<U+0092>s boundaries., A thriving global society relies on the stability of the Earth and its resilience across oceans, forests, waterways, biodiversity, the atmosphere and more. So how do we shape sustainability at a global scale? The boundaries set by the planet<U+0092>s natural resources, the resilience of those resources, and the human activities that impact sustainability all come into play., In this massive open online course, see the rapidly evolving trends in global environmental change and the responses aimed at slowing or eliminating these changes. Get an overview of what is seen by some scientists as our current geological epoch <U+0096> the Anthropocene, or an age of global change driven most significantly by humans. Learn how unsustainable patterns of production, consumption, and population growth have challenge planetary resilience, all in support of human activity <U+0096> and how our societies can develop in a just and safe way within the planet<U+0092>s boundaries., Anyone new to the concept of sustainable development who wants to understand the interplay between human actions and what the planet can support, Graduate students and advanced undergraduate students interested in the key concepts and practices of sustainability, environmental science, responsible consumption, and related topics, Sustainable development practitioners <U+0096> as well as private-sector actors, such as those who work in corporate sustainability and responsibility <U+0096> who want a concise overview of the latest developments in the field,  Module 1: Introduction and the Big Picture,  Module 2: Welcome to the Anthropocene,  Module 3: Social-Ecological Systems and Resilience Thinking,  Module 4: Planetary Boundaries Framework <U+0096> Part 1,  Module 5: Planetary Boundaries Framework <U+0096> Part 2,  Module 6: Planetary Boundaries and Global Equity,  Module 7: Moving towards Global Sustainability within Biophysical and Social Boundaries,  Module 8: Conclusion"
"125","Global Public Health","Understanding the value of health not just as a benefit or right of individuals, but as a global public need, Understanding the value of health not just as a benefit or right of individuals, but as a global public need, How our collective wellness has been impacted by globe-spanning factors, over the years, The emergence of high-tech solutions to improve access,, scalable treatments and more, The infrastructure and institutions that have shaped , the healthcare industry, What are the effects of a healthy individual on the world around them? Beyond the hereditary connections between parents and children or the implications of communicable diseases, public health has intrinsic value as a basic human right and in the context of social, economic and environmental factors.Global Public Health is a massive open online course all about the institutions, infrastructure and interplay of actors that constitute health not only in local communities, but also on a global scale. In this course, you<U+0092>ll discover how health is influenced by environment, food systems, energy security, transport, trade and human migration. You<U+0092>ll also learn health<U+0092>s positive influence on other sectors, with investments in health shown to have a positive impact on economic development. This course will illuminate how health impacts and is essential to achieving poverty reduction, gender empowerment, universal education, conflict resolution and other Sustainable Development Goals., What are the effects of a healthy individual on the world around them? Beyond the hereditary connections between parents and children or the implications of communicable diseases, public health has intrinsic value as a basic human right and in the context of social, economic and environmental factors., Global Public Health is a massive open online course all about the institutions, infrastructure and interplay of actors that constitute health not only in local communities, but also on a global scale. In this course, you<U+0092>ll discover how health is influenced by environment, food systems, energy security, transport, trade and human migration. You<U+0092>ll also learn health<U+0092>s positive influence on other sectors, with investments in health shown to have a positive impact on economic development. This course will illuminate how health impacts and is essential to achieving poverty reduction, gender empowerment, universal education, conflict resolution and other Sustainable Development Goals., Graduate students and advanced undergraduate students studying public health, international development, public policy, nursing and medicine and other fields who are interested in the key concepts and practices in global public health, Healthcare professionals and other practitioners who want to understand their work within the broader context of international policy and the concept of sustainable development, Sustainable development practitioners who want to understand the lifecycle of needs and support necessary to improve health globally, including those who work for international aid organizations and nonprofits in the realms of healthcare, poverty and nutrition,  Module 1: Introduction to Public Health,  Module 2: Trends in Public Health,  Module 3: Infectious Disease,  Module 4: Maternal and Child Health,  Module 5: Non-Communicable Diseases <U+0096> Part I,  Module 6: Non-Communicable Diseases <U+0096> Part II,  Module 7: Health Systems <U+0096> Part I,  Module 8: Health Systems <U+0096> Part II,  Module 9: Environment and Health,  Module 10: Public Health in the 21st Century"
"126","Climate Change Science & Negotiations","Learn the science of climate change and how we can come together to stop it., Learn the science of climate change and how we can come together to stop it., , Energy balance, emissions and more, The role of nuclear power, electric vehicles and other technologies, , , What is this and why do we have it?, All about the process to regulate climate change and, climate action, The time to address climate change is now. The mean surface temperature of the Earth has risen dangerously and spurred devastating impacts <U+0096> and not just on natural ecosystems worldwide, but on daily human life. We are currently on pace towards a temperature increase of 4<U+00B0>C or more this century, while scientists and policymakers propose targets of just 1-2<U+00B0>C to avoid the total destruction of the planet.In this massive open online course, learn solutions to mitigate the effects of the global greenhouse gas emissions causing temperature rise, and how to apply these solutions in different national contexts improvements. NOTE: This course was created before the 2015 United Nations Climate Change Conference <U+0096> COP21 <U+0096> in Paris. While the political situation has shifted rapidly, this course provides a solid overview of the science behind climate change.Climate Change Science and Negotiations is a single-semester course. Please ignore all references to a second semester., The time to address climate change is now. The mean surface temperature of the Earth has risen dangerously and spurred devastating impacts <U+0096> and not just on natural ecosystems worldwide, but on daily human life. We are currently on pace towards a temperature increase of 4<U+00B0>C or more this century, while scientists and policymakers propose targets of just 1-2<U+00B0>C to avoid the total destruction of the planet., In this massive open online course, learn solutions to mitigate the effects of the global greenhouse gas emissions causing temperature rise, and how to apply these solutions in different national contexts improvements., NOTE: This course was created before the 2015 United Nations Climate Change Conference <U+0096> COP21 <U+0096> in Paris. While the political situation has shifted rapidly, this course provides a solid overview of the science behind climate change., Climate Change Science and Negotiations is a single-semester course. Please ignore all references to a second semester., Graduate students and advanced undergraduate students in the fields of sustainable development, environmental science, sustainable business, international relations, or related fields who are interested in the latest on climate change, Climate change activists who want a concise overview of the current issues shaping debate and action, Sustainable development practitioners <U+0096> as well as private-sector actors, such as corporate sustainability and responsibility groups and those who work in the technology or energy industries <U+0096> who need to understand key issues and facts about climate change, including emissions targets and emerging regulations,  Module 1: Towards a New Climate Change Agreement,  Module 2: The Basics of Climate Change Science,  Module 3: The 2-Degree Limit,  Module 4: The 2-Degree Carbon Budget,  Module 5: The Deep Decarbonization of Energy Systems,  Module 6: The Key Technological Challenges of Deep Decarbonization,  Module 7: Deep Decarbonization Pathways: Country Case Studies,  Module 8:  Energy & Development,  Module 9: Main Challenges of Climate Change Negotiations,  Module 10: Towards a New Climate Agreement Based on 2-Degrees Celsius"
"127","From the Ground Up: Managing our Terrestrial Ecosystems","Examine the complex relationship between humans and their environment, and the effects that relationship has on critical ecosystem services. , Examine the complex relationship between humans and their environment, and the effects that relationship has on critical ecosystem services. , The factors that determine the resilience of an ecosystem to human activities and , climate change, Use, preservation and management in regions including, the Brazilian Amazon and Bhutan, What events will fundamentally alter an ecosystem and its ability to, support extant life?, How communities and policymakers can preserve, local ecosystems, If you examine our reliance on the Earth<U+0092>s resources <U+0096> and vice versa <U+0096> you will discover a stunning tapestry of complex interactions between ecosystems and human life. From preventing the extinction of species (including plants and animals) to mitigating the effects of long-term environmental shifts, how do we ensure that our interaction with the world around us doesn<U+0092>t leave it destroyed? In this course, you will learn the science behind ecosystem functioning, including extinction rates, desertification, and how their physical makeup has evolved with environmental shifts. You will experience the lives of local populations dependent upon these resources, from their economic activities to their societal norms. By the end of the course, you will be equipped with an understanding of diverse ecosystems and how responsible use of these resources is imperative to our planet<U+0092>s survival., Graduate students and advanced undergraduate students studying ecosystem management, forestry, sustainable development, economics, sustainable business and related fields, Practitioners in forestry, ecosystem management, conservation and related fields who are interested in the current science and research around use and preservation, Sustainable development practitioners <U+0096> as well as private-sector actors, such as those who work in corporate sustainability and responsibility, land development or tourism <U+0096> who need to understand responsible consumption and interaction with our ecosystems ,  Module 1: Introduction to Terrestrial Ecosystems,  Module 2: The Challenges Facing Terrestrial Ecosystems,  Module 3: Terrestrial Ecosystem Valuation,  Module 4: Management Systems for Terrestrial Ecosystems,  Module 5: Designing Sustainable Ecosystem Programs,  Module 6: Public Policies, Programs and Projects: Evaluation and Assessment,  Module 7: Enabling Institutional Environments for SDG 15"
"128","Laudato Si<U+0092>: On Care for Our Common Home","A mini-course on the urgent call to action: protect the earth and its inhabitants from ruin., A mini-course on the urgent call to action: protect the earth and its inhabitants from ruin., The origins of Pope Francis<U+0092>, call to action, From grassroots to, policy-level support, An overview of the human roots of , the ecological crisis, What is Laudato Si<U+0092>? First presented by Pope Francis <U+0096> spiritual leader to the world<U+0092>s 1.2 billion Catholics <U+0096> to his faith-based cohort, it is a call to action addressed not only to Catholics, but to all people of the world. Laudato Si<U+0092>: On Care for Our Common Home raises the profile of the grave ecological crisis that humanity has created and issues a moral clarion call for urgent action to protect the earth and its inhabitants from ruin.This short course provides an overview of the main themes and messages of Laudato Si<U+0092>. No affiliation or prior familiarity with Catholic teaching is required, nor any prior knowledge of the sustainable development agenda. Learners are guided through the basic structure of the Laudato Si<U+0092> message <U+0096> diagnosis of the ecological crisis, an overview of its theological and philosophical underpinnings, evaluation of the human behavior at its root, the need for institutional solutions, and the call for personal action. Issued in the months leading up to adoption of the Sustainable Development Goals and the Paris Climate Agreement, Laudato Si<U+0092> can be read as a moral charter for sustainable development. It provides a firm ethical foundation for actions that need to be taken urgently at all levels <U+0096> global, national, local, and personal, too. This is what makes it so important., What is Laudato Si<U+0092>? First presented by Pope Francis <U+0096> spiritual leader to the world<U+0092>s 1.2 billion Catholics <U+0096> to his faith-based cohort, it is a call to action addressed not only to Catholics, but to all people of the world. Laudato Si<U+0092>: On Care for Our Common Home raises the profile of the grave ecological crisis that humanity has created and issues a moral clarion call for urgent action to protect the earth and its inhabitants from ruin., This short course provides an overview of the main themes and messages of Laudato Si<U+0092>. No affiliation or prior familiarity with Catholic teaching is required, nor any prior knowledge of the sustainable development agenda. Learners are guided through the basic structure of the Laudato Si<U+0092> message <U+0096> diagnosis of the ecological crisis, an overview of its theological and philosophical underpinnings, evaluation of the human behavior at its root, the need for institutional solutions, and the call for personal action. Issued in the months leading up to adoption of the Sustainable Development Goals and the Paris Climate Agreement, Laudato Si<U+0092> can be read as a moral charter for sustainable development. It provides a firm ethical foundation for actions that need to be taken urgently at all levels <U+0096> global, national, local, and personal, too. This is what makes it so important., Anyone new to the concept of sustainable development who wants to understand its importance and the rationale for their own personal commitment to its principles, Graduate students and advanced undergraduate students interested in a core principle in their study of sustainable development <U+0096> the interplay of various stakeholders in achieving the agenda, Those in faith-based communities interested in the relationship between faith and action to protect the planet,  Module 1: Pope Francis & the Encyclical,  Module 2: On Care for Our Common Home,  Module 3: Theology, Philosophy & the Encyclical,  Module 4: Human Roots of the Ecological Crisis,  Module 5: Global, National & Local Solutions,  Module 6: International Ecological Conversion"
"129","Transforming Development: The Science and Practice of Resilience Thinking","Explore how concepts from resilience may help us rethink and transform current development practice. , Explore how concepts from resilience may help us rethink and transform current development practice. , Analyse the latest issues and debates about global environmental change, sustainability, and resilience, , Understand complexity and complex systems in ways that help analyze the world and diverse development contexts, , Identify cutting-edge and surprising ways that core concepts of resilience thinking can be applied in practice, , Understand the evolution of resilience thinking tools, and master those that can support your own activities, , With concerns about climate and global environmental changes, extreme events, and increases in social, economic, and political shocks, the concept of resilience is proving popular across a range of sectors as a way to understand and respond to our surprise-riddled world.Resilience thinking includes the ability to persist in the face of challenges, adapt to new realities, or transform to fundamentally new paths for development. Resilience thinking is more than a theory, more than a set of tools. It is a way of seeing the world, offering a new perspective of how change in the world happens. Resilience thinking provides a new approach for building understanding and taking action in a complex world that is deeply interconnected and ever-changing. A world where controlled, planned approaches, existing knowledge and current solutions are not enough to effectively respond to the challenges in a highly dynamic and uncertain future. Addressing poverty, injustice, and inequality, and advancing human well-being remains a major ambition and challenge for the 21st century, and it now needs to take into account that development will happen in a context radically different from the past.This course includes case studies and examples from practitioners who are working with resilience concepts in diverse contexts around the world. It is supported by strong scientific evidence and committed to being a platform to bring together and spark collaboration between individuals and organizations from around the world who are driven to transform development., With concerns about climate and global environmental changes, extreme events, and increases in social, economic, and political shocks, the concept of resilience is proving popular across a range of sectors as a way to understand and respond to our surprise-riddled world., Resilience thinking includes the ability to persist in the face of challenges, adapt to new realities, or transform to fundamentally new paths for development. Resilience thinking is more than a theory, more than a set of tools. It is a way of seeing the world, offering a new perspective of how change in the world happens. Resilience thinking provides a new approach for building understanding and taking action in a complex world that is deeply interconnected and ever-changing. A world where controlled, planned approaches, existing knowledge and current solutions are not enough to effectively respond to the challenges in a highly dynamic and uncertain future. Addressing poverty, injustice, and inequality, and advancing human well-being remains a major ambition and challenge for the 21st century, and it now needs to take into account that development will happen in a context radically different from the past., This course includes case studies and examples from practitioners who are working with resilience concepts in diverse contexts around the world. It is supported by strong scientific evidence and committed to being a platform to bring together and spark collaboration between individuals and organizations from around the world who are driven to transform development., Development practitioners, policymakers and managers within development agencies around the world, as well as those working in the field with an interest in resilience thinking as it relates to development policy and practice, Students who are interested in the intersection of resilience, sustainability and development, and with a general interest in both local and global sustainability challenges, Anyone with an interest in development, resilience thinking, and sustainability,  ,  Module 1: Setting the Scene - Development in a changing world,  Module 2: Why does the world seem so complex?,  Module 3: Transformations and innovation for rethinking development practice,  Module 4: The journey from theory to practice,  Module 5: Reconnecting the social-ecological-cultural for rethinking development practice,  Module 6: Why the global matters for transforming development practice,  Module 7: Alternative futures for development practice,"
"130","Changing<U+00A0>Mindsets in Public Institutions to Implement the 2030 Agenda for Sustainable Development<U+200B>","<U+00A0>, Changing Mindsets in Public Institutions to Implement the 2030 Agenda for Sustainable Development, Related SDGs: SDG 16Keywords: Mindsets, Attitudes, CompetenciesLanguage: English, Learning Objectives, The training toolkit<U+00A0>aims to provide a set of methodologies and tools that can<U+00A0>contribute to a change in the environment, culture and mindset<U+00A0>of public<U+00A0>servants in implementing the Sustainable Development Goals (SDGs) in the context of the 2030 Agenda. The training toolkit<U+00A0>approaches transforming mindsets in the public sector as the result of<U+00A0>three interlinked factors: transforming mindsets (1) at the institutional level<U+00A0>through new human resources laws, regulations, policies and regulations; (2) at<U+00A0>the<U+00A0>organizational level through a new<U+00A0>organizational<U+00A0>culture inspired by the<U+00A0>principles of the 2030 Agenda; and (3) at the individual level through beliefs, values, competencies and skills.<U+00A0><U+200B>, Upon completion of the training, learners will have:<U+200B> <U+00A0>, , Content and Structure, Syllabus
			The<U+00A0>Toolkit is comprised of the following modules<U+00A0>that can be used to conduct a five-day regional or national<U+00A0>training capacity development workshop. Selected modules can also be used for shorter trainings and combined with modules of the other Curriculum's Training of Trainers<U+00A0>Toolkits.<U+200B>Welcome & Course Introduction, Setting the scene: Why is changing mindsets critical to the implementation of the SDGs?
			Module 1.1: Setting the Scene
			Module 1.2: Changing Role of Public Administration, Exploring Mindsets: Collaborative Mindset
			Module 2.1:<U+00A0>Exploring Mindsets: Collaborative MindsetExploring Mindsets: Learning Mindset
			Module 3.1: Exploring Mindsets: Learning Mindset, Exploring Mindsets: Leadership Mindset
			Module 4.1: Exploring Mindsets: Leadership Mindset
			Module<U+00A0>4.2: Changing<U+00A0>Mindsets, Changing mindsets: Strategy and Tactics
			Module 5.1: Strategy and Tactics
			Module 5.2: Action plan - What does this mean for my role<U+200B>, Agenda at a Glance of the 5-day Training Workshop, Trainer's Manual, Targeted Audience
			Schools of public administration, national experts <U+0096> government officials, academics, UN Country Teams, and others, Additional InformationTerms and Conditions of use for the Curriculum on Governance for the<U+00A0>SDGsReport on<U+00A0>Changing Mindsets to Realize the 2030 Agenda for Sustainable DevelopmentFeedback SurveyThe Mindset Challenge Approach
			The training toolkit is free of charge. If you have any questions about the toolkit, please send us an email at unpan@un.orgDownload the Toolkit Package, <U+00A0>"
"131","Transparency, Accountability and Ethics in Public Institutions","<U+00A0>, <U+00A0>, <U+00A0>, Learning Outcomes, Content and Structure <U+00A0>, Syllabus<U+200B> <U+00A0>, The toolkit consists of 18 modules which can be facilitated in a five-day training. Modules<U+00A0>can be presented in full or partially, independent from each other and are customizable,<U+00A0>meaning they can be adjusted to the sociocultural or geographic context where a training<U+00A0>is delivered.
<U+200B>
Fundamentals of Ethics and Public IntegrityWelcome & Course IntroductionModule 1: How would a World without Corruption Look?Module 2: Essentials of Ethics and Public IntegrityModule 3: Transparency and AccountabilityModule 4: Understanding and Assessing CorruptionModule 5: International Frameworks for Integrity and Anti-Corruption
Ethics and Public Integrity at the Institutional and Policy LevelModule 6: Oversight<U+00A0>InstitutionsModule 7: Social Accountability MechanismsModule 8: Integrity CodesModule 9: Managing Conflict of InterestModule 10: Whistleblowing
Organizational Change for Enhanced Ethics and IntegrityModule 11: Staff Management and Developing Capacities for IntegrityModule 12: Creating an Organizational Culture of Ethics and IntegrityModule 13: Transparent<U+00A0>Public Procurement
Individual Ethical BehaviorModule 14: Ethical LeadershipModule 15: Assessing Personal vis-<e0>-vis Organizational ValuesModule 16: Behavioral Insights and Staff IncentivesModule 17: How to Promote Desired Behavioral Change?
Strategy and Action Plans for Enhanced Ethics and Public Integrity<U+200B>Module 18: Developing a Strategy, Roadmap and Action Plan for Enhanced Ethics and Public Integrity, 
Trainer's Manual, Targeted Audience
National experts <U+0096> government officials, academics, UN Country Teams, and others., Additional InformationTerms and Conditions of use for the Curriculum on Governance for the<U+00A0>SDGsVideo of the ToolkitFeedback Survey
The training toolkit is free of charge. If you have any questions about the toolkit, please send us an email at unpan@un.org."
"132","Strengthening Institutional Arrangements and Governance Capacities for Policy Coherence<U+200B>","<U+00A0>, <U+00A0>, The primary objective of the training<U+00A0>toolkit is to support UN Member States in developing their governance capacities and<U+00A0>institutional arrangements for<U+00A0>policy coherence. The toolkit<U+00A0>focuses on public institutions<U+0092> capacity to spearhead integrated planning, policymaking, decision making, implementation, M&E and aligning budgets at the national government level. The toolkit is aimed at supporting build capacities for a whole of government and whole of society<U+00A0>approach by examining the core role of a strategy to implement the SDGs, the roles and responsibilities of different government institutions and non-government actors involved and how they are coordinated. The toolkit also touches upon which human, financial, and technological resources are needed to strengthen those institutions.<U+200B>, SyllabusCourse Overview<U+200B>, Targeted Audience
National experts <U+0096> government officials, academics, UN Country Teams, and others, Additional InformationTerms and Conditions of use for the Curriculum on Governance for the<U+00A0>SDGsReadiness Assessment of Institutional Arrangements for Policy Coherence<U+00A0>Feedback Survey
The training toolkit is free of charge. If you have any questions about the toolkit, please send us an email at unpan@un.org"
"133","Effective National to Local Public Governance for SDG Implementation","<U+00A0>, <U+00A0>, The learning outcomes for this training toolkit are designed around the often-expressed challenges of strengthening national to local government coordination and institutional effectiveness for the SDGs. Therefore,<U+00A0>this toolkit aims to break these barriers for more effective achievement of the SDGs and highlights the role of local government.
Upon completion of the training, learners<U+00A0>will have:, Trainer's Manual, Download the Toolkit Package"
"134","Government Innovation for Social Inclusion of Vulnerable Groups","<U+00A0>, <U+00A0>, The training toolkit aims to build capacities to promote government innovation for social inclusion of vulnerable groups by introducing approaches, strategies, and experiences at the national level. It also highlights the importance of empowering vulnerable groups and engaging them in policy design, implementation, and monitoring processes, as agents of change., Upon completion of the training, learners will have:, Agenda at a Glance of the 5-day Training Workshop, Download the Toolkit Package,"
"135","Risk-informed Governance and Innovative Technology for Disaster Risk Reduction and Resilience <U+200B>","<U+00A0>, <U+00A0>, <U+00A0>, Practical and Planned Application of Emerging Technology and Government Innovation for DRR and ResilienceModule 2.1: Extending Our Reach and Expanding Our Capabilities
Site Visit: Innovative Technologies for DRR and Resilience in PracticeModule 2.2: Changing How We Make and Acquire ThingsModule 2.3: Connecting People, Things, and TechnologyModule 2.4: Improving Data Analysis and the Presentation of InformationModule 2.5: Humans as a Resource
Training:<U+00A0>Big Data Analysis<U+00A0>Implementation of Emerging Technologies and Government Innovation for DRR and ResilienceModule 3.1: Implementing and Financing Technology SolutionsModule 3.2: Technology Gaps and Challenges to Implementation of Innovative Technologies for DRR and ResilienceModule 3.3: Measuring Progress: Monitoring and Evaluation of Implementation Efforts, Agenda at a Glance of the 5-day Training Workshop"
"136","Innovation and Digital Government for Public Service Delivery <U+200B>","<U+00A0>, Innovation and Digital Government for Public Service Delivery, Related SDGs: SDG 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 15, 16, 17Keywords: Innovation, Digital GovernmentLanguage: English, Learning Objectives, The training toolkit contains a set of comprehensive training materials aimed at strengthening the capacities of government officials to promote innovation for SDG implementation. <U+200B>, Upon completion of the training, learners will have:<U+200B> <U+00A0>, , Content and Structure, Toolkit at a Glance
			The<U+00A0>Toolkit is comprised of the following modules and sessions that can be used to conduct a regional or national training, Syllabus<U+200B>Course Overview<U+00A0>, Understanding the role of government, public service, innovation and digital transformation in realizing the Agenda 2030Module 1.1. Welcome & Introduction to the CourseModule 1.2.<U+00A0>Government, Public Service and the Agenda 2030Module 1.3. Our National Development PlanModule 1.4. Innovation, Digital Transformation and Digital GovernmentModule 1.5. Realizing Digital Government TransformationModule 1.6. Building Situational Awareness through a DTCA, Exploring Key Concepts and Conducting the Digital Transformation AssessmentModule 2.1.<U+00A0>Welcome and Introduction to Day 2Module 2.2. Innovation and Digital Government: Principles and Strategies to Innovate in Public Service DeliveryModule 2.3. Building Situational Awareness with the DTCAModule 2.4. Systems Thinking and Situational AwarenessModule 2.5. Introduction to Components of Action Planning Part 1Mapping the Institutional EnvironmentModule 3.1.<U+00A0>Welcome and Introduction to Day 3Module 3.2. Implications for the Realization of the NDPModule 3.3. Public Value Framework Part 1Module 3.4. Enabling change: Innovation Labs and Design ThinkingModule 3.5. Case Study: UNCEF<U+0092>s Kosovo Innovation LabToward a Road Map and Action PlanModule 4.1.<U+00A0>Welcome and Introduction to Day 4Module 4.2. Tools and Techniques for Building Situational AwarenessModule 4.3. Do-ability vs Priority AnalysisModule 4.4. Action Planning Part 2Module 4.5 Case Study: UNDP Working Toward Results and Accountability in the Public Sector in MalawiBridging Gaps in Public Service and Public Service Delivery Action PlansModule 5.1.<U+00A0>Welcome and Introduction to Day 5Module 5.2. Plenary Discussion Prioritizing Recommended ActionsModule 5.3. What Needs to Change? What Change Will Create the Most Value?Module 5.4. Case Study: Socio-Technical View of InnovationModule 5.5. Looking AheadModule 5.6. Course Evaluation and Closing Ceremony, Agenda at a Glance of the 5-day Training Workshop, Trainer's ManualDownload the Toolkit Packages, Targeted Audience
			Schools of public administration, national experts <U+0096> government officials, academics, UN Country Teams, and others, Additional InformationTerms and Conditions of use for the Curriculum on Governance for the<U+00A0>SDGsPiloting of the Toolkit: Facilitated Online Capacity Development Workshop<U+00A0>Report of the Workshop<U+00A0>[single pages version] [spreadsheets version]Abridged Version of the Training MaterialFacilitator's Guidance for Facilitated Online Capacity Development TrainingVideo of the Toolkit
			Fact Sheet of the ToolkitFeedback Survey
			The training toolkit is free of charge. If you have any questions about the toolkit, please send us an email at unpan@un.org., <U+00A0>"
"137","DiGIT4SD: Digital Government Implementation","<U+00A0>, DiGIT4SD: Digital Government Implementation, Related SDGs: SDG 16, 17Keywords: Digital Government, Sustainable Development, E-Government, E-ParticipationLanguage: English, Learning Objectives, The Toolkit aims to help targeted countries develop digital government initiatives to support selected SDGs or targets. It offers best practices on digital government initiatives globally as well as case studies. It also incorporates the findings and recommendations proposed in past editions of the UN E-Government Survey., The Toolkit is comprised of 6 modules. Module 1 provides a general background on why and how the implementation toolkit was developed, importance of digital governance and how it can help achieve SDGs. Module 2 offers a general overview of the sustainable development agenda and how digital governance is linked to the SDGs. Apart from general digital government concepts, the e-government survey is also explained. Furthermore, the module includes information on the relevance of data and how we can strive towards e-participation and digital inclusion. Module 3 focuses on methods to identify target and priority areas and how they can be aligned to the sustainable development agenda. It also covers data, policy and implementation gaps and why it is necessary to identify them. Module 4 is concerned with the implementation phase of ICTs. It includes the explanation and best practices on the use of the implementation canvas. The canvas serves, among others, as a snapshot on the current state of play and provides a proper overview on what aspects still need further attention. Module 5 includes measures for monitoring and reviewing both in the planning as well as the implementation phase. It covers tracking methods for measuring the implementation of the policies or activities and evaluation and audit methods for SDG implementation. Module 6 includes various case studies on best practices of countries, both on LDCs as well as more developed countries, that have used ICTs to enhance the SDG targets., , Content and Structure, Syllabus
			The<U+00A0>Toolkit is comprised of the following modules and sessions that can be used to conduct a regional or national training., Module 1: Getting StartedModule 1.1: About DiGIT4SDModule 1.2: User ManualModule 2: FundamentalsModule 2.1. Sustainable Development Goals (SDGs)Module 2.2. E-Government FundamentalsModule 2.3. E-Government SurveyModule 2.4. DataModule 2.5. E-ParticipationModule 3: PlanningModule 3.1. Identification of Target AreasModule 3.2. Stakeholders & PartnershipsModule 3.3. Performance IndicatorsModule 4: ImplementationModule 4.1. Implementation FrameworksModule 4.2. Integration and interoperabilityModule 4.3. Implementation at Local LevelModule 5: Monitoring and EvaluationModule 5.1. M&E FrameworksModule 5.2. M&E Reporting, Dashboards and TrackersModule 6: ResourcesModule 6.1. Case Studies, <U+00A0>, <U+00A0>, , Targeted Audience
			The toolkit has been designed to help countries, especially the Least Developed Countries (LDCs), Small Island Developing Countries (SIDS) and Land-locked Developing Countries (LLDCs) develop and implement digital government initiatives in supporting implementation of the SDGs and targets. In addition, this toolkit is useful for governments of developed countries, academic institutions as well as civil society organizations., Additional Information
			The training toolkit is free of charge. If you have any questions about the toolkit, please send us an email at unpan@un.orgDownload the Toolkit Package, <U+00A0>"
