"","...1","titles","description"
"148",151,"sdg indicators 15.1.1 and 15.2.1 - forest area and sustainable forest management","This course has been developed to guide countries in reporting on Indicators 15.1.1 and 15.2.1. It illustrates the rationale of the indicators, the definitions and methodologies on which monitoring activities are based, and explains the process and the tools available for compiling data related to the two indicators through the Global Forest Resources Assessment (FRA) Programme.
This course consists of 5 lessons, ranging from approximately 20 to 60 minutes duration, grouped into three units:
Unit 1   Introduction
Lesson 1.1   Forests in the SDGs: reporting on Indicators 15.1.1 and 15.2.1

Unit 2   SDG Indicator 15.1.1
Lesson 2.1   SDG Indicator 15.1.1: Forest area as a proportion of total land area
Lesson 2.2   Reporting on forest and other wooded land in the Global Forest Resources Assessment (FRA) platform

Unit 3   SDG Indicator 15.2.1
Lesson 3.1   SDG Indicator 15.2.1 and its subindicators
Lesson 3.2   Reporting on Indicator 15.2.1 through the online Global Forest Resources Assessment (FRA) platform

Watch this video to find out more: https://youtu.be/wBKoc75viFg
											
							Download syllabus
							
									, This course has been developed to guide countries in reporting on Indicators 15.1.1 and 15.2.1. It illustrates the rationale of the indicators, the definitions and methodologies on which monitoring activities are based, and explains the process and the tools available for compiling data related to the two indicators through the Global Forest Resources Assessment (FRA) Programme., This course consists of 5 lessons, ranging from approximately 20 to 60 minutes duration, grouped into three units:, Watch this video to find out more: https://youtu.be/wBKoc75viFg, 
					Target audience
					This course is primarily intended for those who play a role in data collection, analysis, monitoring and reporting for the SDG Indicators 15.1.1 (Forest area as a proportion of total land area) and 15.2.1 (Progress towards sustainable forest management). The course may also be of interest for all the professionals who wish to have concrete guidance on how to effectively play their role in this process.
 
For example:
FRA National Correspondent (NC)
Head of national forestry authority or ministry or policy advisor
National statistical officer
, This course is primarily intended for those who play a role in data collection, analysis, monitoring and reporting for the SDG Indicators 15.1.1 (Forest area as a proportion of total land area) and 15.2.1 (Progress towards sustainable forest management). The course may also be of interest for all the professionals who wish to have concrete guidance on how to effectively play their role in this process.,  , For example:, 
					Learning objectives
					You will learn about:
 The role of forests and forest-related data and information for the achievement of Goal 15 and other related SDGs
The rationale of forest-related indicators 15.1.1 and 15.2.1 within the context of the 2030 Agenda
The methodologies to compile data on indicator 15.1.1 and the main features provided by the FRA platform to complete the reporting process
The role and activities of countries and FAO in the reporting process on indicator 15.2.1 and the relevant information needed to its estimation
, You will learn about:"
"149",152,"official statistics for sdgs","The course comprises five lessons. Each lesson comprises 40 slides and their explanations. The first lesson introduces fundamental key words prerequisite to understanding official statistics  including definition and rationale. Lesson 2 provides the overview of organizations for production, dissemination and coordination of official statistics. Lesson 3 introduces quality and communication of official statistics. Lesson 4 outlines statistical methodologies whose standards, guidelines or manuals are compiled internationally. The last lesson
picks up some examples of official statistics which are used for compilation of SDG indicators.
									, The course comprises five lessons. Each lesson comprises 40 slides and their explanations. The first lesson introduces fundamental key words prerequisite to understanding official statistics  including definition and rationale. Lesson 2 provides the overview of organizations for production, dissemination and coordination of official statistics. Lesson 3 introduces quality and communication of official statistics. Lesson 4 outlines statistical methodologies whose standards, guidelines or manuals are compiled internationally. The last lesson
picks up some examples of official statistics which are used for compilation of SDG indicators., 
					Target audience
					Target  are early-career staff of statistical offices and users of official statistics with an interest in how they are produced. Neither formal education in statistical theory nor experience in a statistical office is a prerequisite for the course, though prior knowledge of statistical methods will aid understanding.
				, Target  are early-career staff of statistical offices and users of official statistics with an interest in how they are produced. Neither formal education in statistical theory nor experience in a statistical office is a prerequisite for the course, though prior knowledge of statistical methods will aid understanding., 
					Learning objectives
					By the end of the course,  will be expected to:
understand fundamental knowledge on official statistics
understand how to compile and monitor Sustainable Development Goal (SDG) indicators from official statistics
, By the end of the course,  will be expected to:"
"150",153,"understanding data and statistics better","This course[1] aims to offer a double opportunity: i) to help improve the understanding of how better data can help design more effective public policies and ii) to brush up on your core data skills. The course covers aspects related to the interpretation, analysis, and presentation of data of direct relevance to the SDGs and more broadly national and sectoral policies aimed at ensuring sustainable and inclusive development. It introduces these topics using concrete examples of data use and public policy context from around the world. The course reviews both traditional and non-traditional data sources and discusses their uses, as well as the opportunities and challenges presented by the latter. It uses a combination of story-telling, examples, videos and hands-on exercises to tailor to a variety of learners.
Before you start the course, you will be invited to take a short survey and read this syllabus. The course is organized in 5 modules. Module 1 serves as an introduction, discussing the role of data in evidence-based policy-making. It is followed by Modules 2 and 3 that aim to strengthen learner s competencies related to interpreting and assessing the fitness for purpose of data and communicating with data telling stories with tables and graphs. Module 4 provides comprehensive coverage of various data sources and discusses how they can be leveraged for policy design. Module 5 covers the aspects related the use of data in policy formulation and monitoring and evaluation from policy perspective. Each module is followed by a module test. After you have completed 5 modules, you will be invited to take the final assessment and complete the feedback questionnaire.
Short introductory survey
Module 1. Statistical literacy
Module 2. Interpreting and assessing the fitness for purpose of data
Module 3. Communicating with data
Module 4. Data sources for SDG indicators
Module 5. Policy formulation, monitoring and evaluation
Final assessment
Feedback survey
[1] Among persons having provided substantive contributions to the development of this course are Sharleen Forbes, John Harraway, Helen McGivallray, Aniket Bhushan, Vibeke Nielsen, Leandre Ngogang Wandji and Elena Proden.
											
							Download syllabus
							
									, This course[1] aims to offer a double opportunity: i) to help improve the understanding of how better data can help design more effective public policies and ii) to brush up on your core data skills. The course covers aspects related to the interpretation, analysis, and presentation of data of direct relevance to the SDGs and more broadly national and sectoral policies aimed at ensuring sustainable and inclusive development. It introduces these topics using concrete examples of data use and public policy context from around the world. The course reviews both traditional and non-traditional data sources and discusses their uses, as well as the opportunities and challenges presented by the latter. It uses a combination of story-telling, examples, videos and hands-on exercises to tailor to a variety of learners., Before you start the course, you will be invited to take a short survey and read this syllabus. The course is organized in 5 modules. Module 1 serves as an introduction, discussing the role of data in evidence-based policy-making. It is followed by Modules 2 and 3 that aim to strengthen learner s competencies related to interpreting and assessing the fitness for purpose of data and communicating with data telling stories with tables and graphs. Module 4 provides comprehensive coverage of various data sources and discusses how they can be leveraged for policy design. Module 5 covers the aspects related the use of data in policy formulation and monitoring and evaluation from policy perspective. Each module is followed by a module test. After you have completed 5 modules, you will be invited to take the final assessment and complete the feedback questionnaire., [1] Among persons having provided substantive contributions to the development of this course are Sharleen Forbes, John Harraway, Helen McGivallray, Aniket Bhushan, Vibeke Nielsen, Leandre Ngogang Wandji and Elena Proden., 
					Target audience
					The course is intended for public officials in charge of SDG policies, as well as data producers and anyone interested to learn more about the role of data in public policy design. National Statistical Offices may also find it a useful resource in their work aimed at strengthening data skills and data demand from their countries  decision-makers from across line ministries as well as in their efforts to further the understanding of data producers from across the National Statistical System and beyond when it comes to data use and data demand.
				, The course is intended for public officials in charge of SDG policies, as well as data producers and anyone interested to learn more about the role of data in public policy design. National Statistical Offices may also find it a useful resource in their work aimed at strengthening data skills and data demand from their countries  decision-makers from across line ministries as well as in their efforts to further the understanding of data producers from across the National Statistical System and beyond when it comes to data use and data demand., 
					Learning objectives
					It is expected that, by the end of the course,  will be better positioned to:
Explain the importance of timely, quality and disaggregated data for informing policies and decisions in support of the SDGs;
Interpret and assess the fitness for purpose of different sources of data depending on the objective and task at hand;
Effectively and correctly communicate data to tell a story using tables, graphs and maps;
Identify potential data sources from among official, scientific and new types of data for monitoring SDG indicators using a set of criteria;
Discuss how data should be used to formulate evidence-based policies or conduct M&E activities.
, It is expected that, by the end of the course,  will be better positioned to:"
"151",154,"national metadata for sdgs","The 2030 Agenda for Sustainable Development, adopted by all United Nations Member States in 2015, sets forth the global vision to 2030. At its heart are the 17 Sustainable Development Goals (SDGs) which provide the benchmarks that should be achieved by 2030 in order to leave no one behind. A robust follow-up and review mechanism for the implementation of the 2030 Agenda requires a solid framework of indicators and statistical data to monitor progress, inform policy and ensure accountability of all stakeholders at the global and national level. The global indicator framework consisting of 169 targets and 242 indicators was adopted by the General Assembly in 2017.
At the national level, the 2030 Agenda encourages member states to conduct regular and inclusive reviews of progress at the national and sub-national levels which are country-led and country-driven. The United Nations Statistics Division is working closely with national actors as well as international partners to build capacity in countries for reporting on the SDG indicators using national indicator frameworks.
National metadata are an important element in better understanding how the SDG indicator has been collected, processed and disseminated. The global metadata set can be used as guidance, but source and processing information will be different in each country and for each data source. Definitions and concepts may also vary and it is important to sensitise the user to this.
This is an e-learning course in how to compile national metadata for the SDGs. After introducing the SDGs overall and key metadata concepts, it provides guidance in how to fill a metadata template for SDG indicators. The e-learning course is based on trainings which have been conducted as part of the UNSD-DFID project on SDG monitoring.
The course is self-paced without instruction and can be taken at any point in time.
									, The 2030 Agenda for Sustainable Development, adopted by all United Nations Member States in 2015, sets forth the global vision to 2030. At its heart are the 17 Sustainable Development Goals (SDGs) which provide the benchmarks that should be achieved by 2030 in order to leave no one behind. A robust follow-up and review mechanism for the implementation of the 2030 Agenda requires a solid framework of indicators and statistical data to monitor progress, inform policy and ensure accountability of all stakeholders at the global and national level. The global indicator framework consisting of 169 targets and 242 indicators was adopted by the General Assembly in 2017., At the national level, the 2030 Agenda encourages member states to conduct regular and inclusive reviews of progress at the national and sub-national levels which are country-led and country-driven. The United Nations Statistics Division is working closely with national actors as well as international partners to build capacity in countries for reporting on the SDG indicators using national indicator frameworks., National metadata are an important element in better understanding how the SDG indicator has been collected, processed and disseminated. The global metadata set can be used as guidance, but source and processing information will be different in each country and for each data source. Definitions and concepts may also vary and it is important to sensitise the user to this., This is an e-learning course in how to compile national metadata for the SDGs. After introducing the SDGs overall and key metadata concepts, it provides guidance in how to fill a metadata template for SDG indicators. The e-learning course is based on trainings which have been conducted as part of the UNSD-DFID project on SDG monitoring., The course is self-paced without instruction and can be taken at any point in time., 
					Target audience
					The target audience are experts who are responsible for providing data and metadata for one or more national SDG indicators.
The course can also be useful to a wider audience who is interested to learn more about metadata in the SDG context.
				, The target audience are experts who are responsible for providing data and metadata for one or more national SDG indicators., The course can also be useful to a wider audience who is interested to learn more about metadata in the SDG context., 
					Learning objectives
					Better understand key concepts around metadata, particularly related to the SDGs
Learn how to fill the SDG metadata template
Better understand the importance of metadata to help explain the data and potential differences between data.
"
"152",155,"communicating statistics on women's economic empowerment","This course on Communicating Statistics on Women s Economic Empowerment is designed to help journalists and statisticians report on the different status of women and men in the economy and the challenges to inclusive economic empowerment. The 12 sessions of this course introduce the concept of economic empowerment, guide  on the data needed to explore this topic, and provide advice on how to produce engaging stories around gender data to highlight the need for women s economic empowerment.
This course was developed by PARIS21 in collaboration with UN Women as part of the  Making Every Woman and Girl Count  initiative. Working globally,  Women Count  is transforming statistical systems to be more gender responsive, connecting gender data communities, and influencing evidence-based policy changes to change the lives of women and girls.
A certificate by UN Women and PARIS21 is available upon completion.
									, This course on Communicating Statistics on Women s Economic Empowerment is designed to help journalists and statisticians report on the different status of women and men in the economy and the challenges to inclusive economic empowerment. The 12 sessions of this course introduce the concept of economic empowerment, guide  on the data needed to explore this topic, and provide advice on how to produce engaging stories around gender data to highlight the need for women s economic empowerment., This course was developed by PARIS21 in collaboration with UN Women as part of the  Making Every Woman and Girl Count  initiative. Working globally,  Women Count  is transforming statistical systems to be more gender responsive, connecting gender data communities, and influencing evidence-based policy changes to change the lives of women and girls., A certificate by UN Women and PARIS21 is available upon completion., 
					Target audience
					Journalists and statisticians are the main target audiences for this course, however the content is open and accessible to anyone who is looking to improve their understanding of gender statistics and develop their data communication skills. In addition to joint sessions on key issues and themes, the course includes dedicated sessions for journalists and statisticians individually for more targeted content delivery. These sessions are clearly designated in the course outline, but remain open to all . Each learning session concludes with a short quiz to facilitate content retention.
				, Journalists and statisticians are the main target audiences for this course, however the content is open and accessible to anyone who is looking to improve their understanding of gender statistics and develop their data communication skills. In addition to joint sessions on key issues and themes, the course includes dedicated sessions for journalists and statisticians individually for more targeted content delivery. These sessions are clearly designated in the course outline, but remain open to all . Each learning session concludes with a short quiz to facilitate content retention., 
					Learning objectives
					Participants who undertake the course on communicating statistics on women s economic empowerment will learn:
 How gender impacts the economic opportunities of women and men and what data is needed to explore these differences
 How to use and explain economic statistics in a gender-sensitive manner that empowers women
 How to produce data stories or reports that promote gender equality and women s economic empowerment
, Participants who undertake the course on communicating statistics on women s economic empowerment will learn:"
"153",156,"strengthening stakeholder engagement for the 2030 agenda","Further to the adoption of the 2030 Agenda in September 2015, 4 rounds of reviews of its implementation took place at the global level in July 2016, July 2017, July 2018 and July 2019 in the context of the High-level Political Forum on Sustainable Development (HLPF). More than 100 countries have already presented their Voluntary National Reviews (VNRs) at HLPF. All UN Member States are expected to conduct regular and inclusive national reviews of progress on the SDGs and contribute to regional and global reviews. Such reviews should draw on national processes and include contributions from different stakeholders.
This e-learning course is designed to support this process and is aimed at strengthening the capacities of Governments to engage in an effective and meaningful way with MGoS (Major Groups and other stakeholders) as they implement and review progress towards the achievement of the SDGs. It complements a range of other capacity development activities being rolled out, among other, by UN Secretariat to meet the needs of both governments and other stakeholders with regards to the 2030 Agenda and HLPF process.
The course is composed of two parts: Fundamentals of stakeholder engagement and InFocus modules.
Fundamentals
Module 1. Understanding the need for stakeholder engagement in the 2030 Agenda at the national level
Module 2. Learning about approaches and tools for strengthening stakeholder engagement for the SDGs
Module 3. Designing successful strategies for stakeholder engagement in national implementation and review processes for the 2030 Agenda
InFocus
Module 4. Leaving no one behind: Approaches, tools and best practices to promote meaningful engagement of all stakeholders in the implementation and follow up of the 2030 Agenda
Those  who complete the requirements for the 3 online modules are entitled to a Certificate of Completion   Fundamentals, and those  who complete InFocus module on Leave No One Behind will receive an additional Certificate of Completion for the InFocus module specifically.
The course is available in English and French.
									, Further to the adoption of the 2030 Agenda in September 2015, 4 rounds of reviews of its implementation took place at the global level in July 2016, July 2017, July 2018 and July 2019 in the context of the High-level Political Forum on Sustainable Development (HLPF). More than 100 countries have already presented their Voluntary National Reviews (VNRs) at HLPF. All UN Member States are expected to conduct regular and inclusive national reviews of progress on the SDGs and contribute to regional and global reviews. Such reviews should draw on national processes and include contributions from different stakeholders., This e-learning course is designed to support this process and is aimed at strengthening the capacities of Governments to engage in an effective and meaningful way with MGoS (Major Groups and other stakeholders) as they implement and review progress towards the achievement of the SDGs. It complements a range of other capacity development activities being rolled out, among other, by UN Secretariat to meet the needs of both governments and other stakeholders with regards to the 2030 Agenda and HLPF process., The course is composed of two parts: Fundamentals of stakeholder engagement and InFocus modules., Fundamentals, Module 1. Understanding the need for stakeholder engagement in the 2030 Agenda at the national level, Module 2. Learning about approaches and tools for strengthening stakeholder engagement for the SDGs, Module 3. Designing successful strategies for stakeholder engagement in national implementation and review processes for the 2030 Agenda, InFocus, Module 4. Leaving no one behind: Approaches, tools and best practices to promote meaningful engagement of all stakeholders in the implementation and follow up of the 2030 Agenda, Those  who complete the requirements for the 3 online modules are entitled to a Certificate of Completion   Fundamentals, and those  who complete InFocus module on Leave No One Behind will receive an additional Certificate of Completion for the InFocus module specifically., The course is available in English and French., 
					Target audience
					Government officials, UN staff; local governments; civil society and others.
				, Government officials, UN staff; local governments; civil society and others., 
					Learning objectives
					Following the completion of the course,  will be able to:
Describe the rationale behind the need for Governments to engage with MGoS in formulating and reviewing SDG policies;
Map key national stakeholders with a special focus on those who are the furthest behind;
Assess the relevance of different models of engagement practiced by other countries as part of VNRs in their respective countries;
Identify practical ways to engage with key national stakeholders, incl. vulnerable groups, in the context of preparations for VNRs;
Develop long-term strategies for ensuring continuous stakeholder engagement as part of regular national review processes for the SDGs;
Apply approaches and tools to promote the meaningful engagement of all stakeholders, with a special focus on the most vulnerable, and to assess the quality of their engagement in the implementation and review processes for the 2030 Agenda, including in the COVID-19 response context.
, Following the completion of the course,  will be able to:"
"154",157,"economic indicators","Timely and sound economic data are of critical importance to policymakers, the business community, consumers, and investors. Economic information helps a wide array of people assess how well an economy is performing and guides decision-making. What are economic indicators? What is their significance? How should they be interpreted? This seminar is an introduction to key economic indicators and how they are used. In depth discussion on how to construct the various indicators is not provided in this seminar.
The following BLS economic indicators and topics will be presented in this seminar:
Employment and Unemployment
Data on employed persons and the unemployment rate provide a vital snapshot of the strength of a labor market. A range of measures of labor underutilization and other employment data produced by BLS will also be discussed.
Wages and Labor Costs
Wages, earnings, and benefits account for a substantial part of a country s national income and are closely linked to the economic cycle. Determining levels and trends of pay rates by occupation, industry, locality, and region is important in the analysis of current economic developments. The seminar will also discuss indexes that measure the change over time in labor costs (Employment Cost Index) and data measuring the level of average costs per hour worked (Employer Costs for Employee Compensation).
Prices
Price indexes, indicators of the rates of inflation in a country s economy, also serve as a tool for adjusting wages, salaries, and other income payments to keep in step with rising prices. The seminar will address the importance of Consumer Price Indexes, Producer Price Indexes, and Import and Export Price Indexes.
Productivity and Unit Labor Costs
Productivity is one of the major determinants of the standard of living, since increases in productivity can result in higher real income and increased price stability. Measures of productivity and unit labor costs are important signals of international competitiveness.
 
Data discussed in this seminar are used to report on the following SDG indicators:
Indicator 5.4.1: Proportion of time spent on unpaid domestic and care work, by sex, age and location
Indicator 8.2.1: Annual growth rate of real GDP per employed person
Indicator 8.5.1: Average hourly earnings of female and male employees, by occupation, age and persons with disabilities
Indicator 8.5.2: Unemployment rate, by sex, age and persons with disabilities
Indicator 8.6.1: Proportion of youth (aged 15 24 years) not in education, employment or training
Indicator 9.2.2: Manufacturing employment as a proportion of total employment
, Timely and sound economic data are of critical importance to policymakers, the business community, consumers, and investors. Economic information helps a wide array of people assess how well an economy is performing and guides decision-making. What are economic indicators? What is their significance? How should they be interpreted? This seminar is an introduction to key economic indicators and how they are used. In depth discussion on how to construct the various indicators is not provided in this seminar., The following BLS economic indicators and topics will be presented in this seminar:, Employment and Unemployment, Wages and Labor Costs, Prices, Productivity and Unit Labor Costs,  , Data discussed in this seminar are used to report on the following SDG indicators:, 
					Target audience
					This seminar is designed for economists, statisticians, researchers, analysts, and other professionals seeking an understanding of economic indicators. Participants should have an elementary knowledge of statistics and some experience in analyzing labor or economic data.
				, This seminar is designed for economists, statisticians, researchers, analysts, and other professionals seeking an understanding of economic indicators. Participants should have an elementary knowledge of statistics and some experience in analyzing labor or economic data., 
					Learning objectives
					To identify key economic indicators and understand how they are used to track an economy by:
Learning how indicators signal change in the direction of the economy or economic activity
Distinguishing between leading, lagging, and coincident indicators
Understanding the relationship different indicators have to the business cycle and to each other
 
For additional information about this and other BLS international training programs, please visit the BLS Division of International Technical Cooperation (ITC) website or contact ITC staff at ITCinfo@bls.gov.
				, To identify key economic indicators and understand how they are used to track an economy by:,  , For additional information about this and other BLS international training programs, please visit the BLS Division of International Technical Cooperation (ITC) website or contact ITC staff at ITCinfo@bls.gov."
"155",158,"sdg indicator 2.4.1 - sustainable agriculture","This course has been developed to support countries in the analysis and reporting for Indicator 2.4.1 of the 2030 Sustainable Development Goals (Proportion of agricultural area under productive and sustainable agriculture), and to facilitate the understanding of the main concepts underpinning the methodology.
The course consists of 4 lessons, ranging from approximately 30 to 40 minutes duration each:
Lesson 1  Introduction to SDG Indicator 2.4.1
Lesson 2  Key features of SDG Indicator 2.4.1
Lesson 3  Collecting the data
Lesson 4  Analysing and reporting
Watch this video to find out more: https://youtu.be/jtKPWZAndws
											
							Download syllabus
							
									, This course has been developed to support countries in the analysis and reporting for Indicator 2.4.1 of the 2030 Sustainable Development Goals (Proportion of agricultural area under productive and sustainable agriculture), and to facilitate the understanding of the main concepts underpinning the methodology., The course consists of 4 lessons, ranging from approximately 30 to 40 minutes duration each:, Watch this video to find out more: https://youtu.be/jtKPWZAndws, 
					Target audience
					The course is primarily intended for those who play a role in data collection, analysis and reporting for SDG Indicator 2.4.1, including agronomists, statisticians, enumerators and data analysts, as well as policy makers and people with an interest in the process.
				, The course is primarily intended for those who play a role in data collection, analysis and reporting for SDG Indicator 2.4.1, including agronomists, statisticians, enumerators and data analysts, as well as policy makers and people with an interest in the process., 
					Learning objectives
					You will learn about:
The concept of sustainable agriculture and the importance of SDG Indicator 2.4.1
The key features of the Indicator, with a focus on its 11 themes that span economic, social and environmental dimensions
The use of the farm survey and alternative options for data collection
The methodology for analyzing, computing and reporting this SDG Indicator
, You will learn about:"
"156",159,"sdg indicator 2.c.1 - food price anomalies","This course is a clear and easy-to-use guide to understand Indicator 2.c.1 (Indicator of food price anomalies) and the methodology to estimate it. It covers basic concepts related to market functioning, prices determination and price volatility and explains how to calculate the indicator and use the online Food Price Monitoring and Analysis (FPMA) tool to interpret indicator results, at national and international level.
The course consists of 4 lessons, ranging from approximately 20 to 60 minutes duration each:
Lesson 1 Market stability and Indicator 2.c.1: an introduction
Lesson 2 An introduction to food market analysis
Lesson 3 A guide to calculating and interpreting SDG Indicator 2.c.1
Lesson 4 How to analyse and interpret prices through the Food Price Monitoring and Analysis Tool
Watch this video to find out more: https://youtu.be/RZAj9Yh2A4w
											
							Download syllabus
							
									, This course is a clear and easy-to-use guide to understand Indicator 2.c.1 (Indicator of food price anomalies) and the methodology to estimate it. It covers basic concepts related to market functioning, prices determination and price volatility and explains how to calculate the indicator and use the online Food Price Monitoring and Analysis (FPMA) tool to interpret indicator results, at national and international level., The course consists of 4 lessons, ranging from approximately 20 to 60 minutes duration each:, Watch this video to find out more: https://youtu.be/RZAj9Yh2A4w, 
					Target audience
					This course is primarily intended for: staff of public institutions responsible for monitoring domestic food markets or involved in price data collection, dissemination and analysis within the reporting of SDG Indicator 2.c.1; as well as professionals working in public or private organizations interested in price monitoring and market stability.
				, This course is primarily intended for: staff of public institutions responsible for monitoring domestic food markets or involved in price data collection, dissemination and analysis within the reporting of SDG Indicator 2.c.1; as well as professionals working in public or private organizations interested in price monitoring and market stability., 
					Learning objectives
					You will learn about:
Rationale of Indicator 2.c.1 within the context of the Sustainable Development Goal 2
Importance of market stability and market prices monitoring and the role of the Indicator as a warning tool
Main concepts to understand supply and demand, market integration and price volatility
Steps to estimate the Indicator
Features provided by the FPMA Tool to search for national and international food price series and analyze their trends and statistics for monitoring purposes
, You will learn about:"
"157",160,"climate mitigation initiatives","The concept of Measuring (and monitoring), Reporting and Verification (MRV) has gained significance in the design and implementation of climate change policy in the recent years, and more so after the Paris Agreement. Greenhouse gas reporting programs provide a platform to gather emissions data from entities and help mainstream emissions measurement and reporting.
									, The concept of Measuring (and monitoring), Reporting and Verification (MRV) has gained significance in the design and implementation of climate change policy in the recent years, and more so after the Paris Agreement. Greenhouse gas reporting programs provide a platform to gather emissions data from entities and help mainstream emissions measurement and reporting., 
					Target audience
					Government officials, policymakers, development planners, climate change practitioners, carbon market agents.
				, Government officials, policymakers, development planners, climate change practitioners, carbon market agents., 
					Learning objectives
					The course aims to support policymakers and practitioners in developing economy-wide or sector-specific GHG reporting programs that address national and sub-national priorities and objectives. It is divided in three modules and enables users to:
Enhance their knowledge of the concept and significance of MRV
Understand what constitutes a GHG reporting program, and the range of objectives that reporting programs can serve
Identify the legal framework needed to anchor the mandatory reporting program
Determine the capacities necessary to establish and implement reporting programs
Engage stakeholders during various phases of development and implementation of the reporting program
Understand various design elements that form the core of GHG reporting programs and key factors that influence design-related decisions
Delve deeper into three of the existing GHG reporting programs to further comprehend the concepts discussed in the course
, The course aims to support policymakers and practitioners in developing economy-wide or sector-specific GHG reporting programs that address national and sub-national priorities and objectives. It is divided in three modules and enables users to:"
"158",161,"sdg indicator 14.4.1 - fish stocks sustainability","This course focuses on SDG Indicator 14.4.1   Fish stocks sustainability:  Proportion of fish stocks within biologically sustainable levels . It introduces basic fisheries concepts and definitions, illustrates some technical aspects of classical and data-limited stock assessment and provides detailed guidance on process and tools for the analysis and reporting of the Indicator.
The course consists of 5 lessons, ranging from approximately 30 to 60 minutes duration each:
Lesson 1  Introduction to SDG Indicator 14.4.1
Lesson 2  Concepts and process behind the estimations of SDG Indicator 14.4.1
Lesson 3  Estimation of SDG Indicator 14.4.1 from classical stock assessment outputs
Lesson 4  Estimation of SDG Indicator 14.4.1 from data-limited methods
Lesson 5  Guidelines for national reporting of SDG Indicator 14.4.1
Watch this video to find out more: https://youtu.be/MK6RG_TC_PE
											
							Download syllabus
							
									, This course focuses on SDG Indicator 14.4.1   Fish stocks sustainability:  Proportion of fish stocks within biologically sustainable levels . It introduces basic fisheries concepts and definitions, illustrates some technical aspects of classical and data-limited stock assessment and provides detailed guidance on process and tools for the analysis and reporting of the Indicator., The course consists of 5 lessons, ranging from approximately 30 to 60 minutes duration each:, Watch this video to find out more: https://youtu.be/MK6RG_TC_PE, 
					Target audience
					The target audience of this course includes:
National fisheries administration officials
Policy-makers or advisors
Members of the fishing community/fishing organizations
Fisheries scientists, data analysts, and statisticians
, The target audience of this course includes:, 
					Learning objectives
					You will learn about:
The rationale of indicator 14.4.1 within the 2030 Agenda
Basic definitions and fundamental concepts related to fish stock assessment
Methods and data requirements of classical stock assessments
How to access the BlueBRIDGE Virtual Research Environment to run some of the main data-limited methods on the platform
The steps of the procedure for building and reporting Indicator 14.4.1
, You will learn about:"
"159",162,"infrastructure, public-private partnerships, and fiscal management","This course seeks to equip professionals, who work on PPP projects, with essential skills in assessing the fiscal implications of PPPs and managing related fiscal risks. It uses several case studies and examples to explain key concepts. Additionally, it has downloadable resources for later use.
									, This course seeks to equip professionals, who work on PPP projects, with essential skills in assessing the fiscal implications of PPPs and managing related fiscal risks. It uses several case studies and examples to explain key concepts. Additionally, it has downloadable resources for later use., 
					Target audience
					Professionals who work on PPPs
				, Professionals who work on PPPs, 
					Learning objectives
					After the completion of the course,  will be able to:
Determine Fiscal risk analysis of PPP projects
Link fiscal risk analysis and fiscal management
Base project assessment on the overall risk evaluation.
, After the completion of the course,  will be able to:"
"160",163,"sdg indicator 2.a.1 <u+0096> agriculture orientation index","This course focuses on SDG Indicator 2.a.1   Agriculture orientation index for government expenditure. The course illustrates the indicator, its rationale, the methodology and statistical classifications it is based on, and the challenges that countries may face when compiling the data.
The course consists of 4 lessons, ranging from approximately 15 to 30 minutes duration each:
Lesson 1 The role of public finance in Goal 2 and Target 2.a of the 2030 Agenda
Lesson 2 Target 2.a and indicator 2.a.1
Lesson 3 Compilation of Government Expenditure on Agriculture questionnaire
Lesson 4 Countries  role in compiling government expenditure data
Watch this video to find out more: https://youtu.be/gcazWN2VG1c
											
							Download syllabus
							
									, This course focuses on SDG Indicator 2.a.1   Agriculture orientation index for government expenditure. The course illustrates the indicator, its rationale, the methodology and statistical classifications it is based on, and the challenges that countries may face when compiling the data., The course consists of 4 lessons, ranging from approximately 15 to 30 minutes duration each:, Watch this video to find out more: https://youtu.be/gcazWN2VG1c, 
					Target audience
					This course is primarily intended for professionals who play a role in the data collection, analysis and reporting on SDG Indicator 2.a.1, as well as for people with an interest in the process. They include policy-makers, data producers, and professionals in charge of compiling the Government Expenditure on Agriculture questionnaire.
				, This course is primarily intended for professionals who play a role in the data collection, analysis and reporting on SDG Indicator 2.a.1, as well as for people with an interest in the process. They include policy-makers, data producers, and professionals in charge of compiling the Government Expenditure on Agriculture questionnaire., 
					Learning objectives
					You will learn about:
Fundamental role of public finance in supporting agriculture
How SDG Indicator 2.a.1 is calculated
How the Indicator can help monitoring Target 2.a of the 2030 Development Agenda
Data collection, compilation and reporting process for SDG Indicator 2.a.1
Role of countries in compiling government expenditure data
, You will learn about:"
